Latency,Interval
5782,5782
5850,68
5862,12
6022,160
6626,604
7706,1080
8238,532
9270,1032
10302,1032
11202,900
12282,1080
13258,976
14442,1184
15298,856
16318,1020
17378,1060
18366,988
19230,864
20314,1084
21302,988
22386,1084
23238,852
24330,1092
25258,928
26282,1024
27294,1012
28334,1040
29306,972
30390,1084
31230,840
32338,1108
33246,908
34274,1028
35270,996
36254,984
37346,1092
38374,1028
39250,876
40250,1000
41274,1024
42302,1028
43230,928
44242,1012
45330,1088
46370,1040
47218,848
48374,1156
49250,876
50278,1028
51594,1316
52242,648
53314,1072
54302,988
55274,972
56186,912
57330,1144
58366,1036
59378,1012
60246,868
61318,1072
62354,1036
63238,884
64254,1016
65246,992
66366,1120
67226,860
68302,1076
69270,968
70322,1052
71322,1000
72282,960
73274,992
74286,1012
75298,1012
76286,988
77262,976
78318,1056
79294,976
80322,1028
81318,996
82314,996
83230,916
84322,1092
85282,960
86354,1072
87230,876
88342,1112
89266,924
90254,988
91270,1016
92654,1384
93302,648
94382,1080
95266,884
96306,1040
97374,1068
98462,1088
99290,828
100446,1156
101270,824
102314,1044
103238,924
104286,1048
105226,940
106318,1092
107202,884
108326,1124
109322,996
110354,1032
111222,868
112350,1128
113178,828
114278,1100
115270,992
116294,1024
117318,1024
118326,1008
119298,972
120286,988
121238,952
122282,1044
123246,964
124286,1040
125298,1012
126338,1040
127270,932
128358,1088
129230,872
130334,1104
131198,864
132274,1076
133274,1000
134302,1028
135310,1008
136314,1004
137578,1264
138914,1336
139466,552
140230,764
141318,1088
142410,1092
143282,872
144254,972
145382,1128
146682,1300
147246,564
148234,988
149254,1020
150294,1040
151234,940
152314,1080
153298,984
154498,1200
155250,752
156278,1028
157310,1032
158346,1036
159270,924
160246,976
161242,996
162334,1092
163270,936
164258,988
165346,1088
166446,1100
167290,844
168298,1008
169278,980
170302,1024
171278,976
172250,972
173330,1080
174382,1052
175214,832
176238,1024
177262,1024
178270,1008
179274,1004
180274,1000
181274,1000
182362,1088
183202,840
184310,1108
185302,992
186302,1000
187246,944
188214,968
189314,1100
190338,1024
191222,884
192302,1080
193294,992
194378,1084
195246,868
196274,1028
197262,988
198314,1052
199502,1188
200266,764
201238,972
202270,1032
203258,988
204266,1008
205330,1064
206382,1052
207278,896
208270,992
209214,944
210246,1032
211222,976
212306,1084
213290,984
214386,1096
215238,852
216342,1104
217274,932
218282,1008
219294,1012
220342,1048
221302,960
222374,1072
223258,884
224338,1080
225266,928
226350,1084
227250,900
228234,984
229314,1080
230338,1024
231234,896
232322,1088
233246,924
234330,1084
235202,872
236310,1108
237334,1024
238330,996
239294,964
240498,1204
241242,744
242318,1076
243170,852
244242,1072
245270,1028
246262,992
247242,980
248322,1080
249302,980
250378,1076
