Latency,LatencyAdj,Interval
4834,4834,4834
11690,1690,6856
21774,1774,10084
31738,1738,9964
41722,1722,9984
51706,1706,9984
61722,1722,10016
71690,1690,9968
81646,1646,9956
91654,1654,10008
101726,1726,10072
111682,1682,9956
121742,1742,10060
131662,1662,9920
141730,1730,10068
151742,1742,10012
161766,1766,10024
171674,1674,9908
181690,1690,10016
191822,1822,10132
201738,1738,9916
211658,1658,9920
221802,1802,10144
231662,1662,9860
241726,1726,10064
251702,1702,9976
261746,1746,10044
271722,1722,9976
281754,1754,10032
291646,1646,9892
301794,1794,10148
311698,1698,9904
321678,1678,9980
331742,1742,10064
341782,1782,10040
351682,1682,9900
361746,1746,10064
371670,1670,9924
381766,1766,10096
391702,1702,9936
401722,1722,10020
411678,1678,9956
421762,1762,10084
431718,1718,9956
441734,1734,10016
451674,1674,9940
461774,1774,10100
471690,1690,9916
481710,1710,10020
491758,1758,10048
501710,1710,9952
511714,1714,10004
521678,1678,9964
531634,1634,9956
541774,1774,10140
551714,1714,9940
561726,1726,10012
571722,1722,9996
581730,1730,10008
591690,1690,9960
601734,1734,10044
611666,1666,9932
621742,1742,10076
631746,1746,10004
641706,1706,9960
651734,1734,10028
661758,1758,10024
671710,1710,9952
681730,1730,10020
691666,1666,9936
701946,1946,10280
711722,1722,9776
721722,1722,10000
731918,1918,10196
741782,1782,9864
751798,1798,10016
761758,1758,9960
771654,1654,9896
781702,1702,10048
791726,1726,10024
801718,1718,9992
811686,1686,9968
821778,1778,10092
831702,1702,9924
841738,1738,10036
851658,1658,9920
861774,1774,10116
871690,1690,9916
881690,1690,10000
891758,1758,10068
901726,1726,9968
911758,1758,10032
921746,1746,9988
931662,1662,9916
941778,1778,10116
951702,1702,9924
961710,1710,10008
971662,1662,9952
981722,1722,10060
991690,1690,9968
1001738,1738,10048
1011654,1654,9916
1021782,1782,10128
1031754,1754,9972
1041750,1750,9996
1051698,1698,9948
1061774,1774,10076
1071750,1750,9976
1081742,1742,9992
1091690,1690,9948
1105842,5842,14152
1111714,1714,5872
1121702,1702,9988
1131754,1754,10052
1141718,1718,9964
1151730,1730,10012
1161754,1754,10024
1171658,1658,9904
1181790,1790,10132
1191690,1690,9900
1201746,1746,10056
1211678,1678,9932
1221762,1762,10084
1231710,1710,9948
1242070,2070,10360
1251686,1686,9616
1261694,1694,10008
1271690,1690,9996
1281682,1682,9992
1291758,1758,10076
1301782,1782,10024
1311698,1698,9916
1321702,1702,10004
1331702,1702,10000
1341758,1758,10056
1351746,1746,9988
1361698,1698,9952
1371738,1738,10040
1381766,1766,10028
1391722,1722,9956
1401702,1702,9980
1411718,1718,10016
1421750,1750,10032
1431750,1750,10000
1441702,1702,9952
1451738,1738,10036
1461750,1750,10012
1471714,1714,9964
1481702,1702,9988
1491650,1650,9948
1501706,1706,10056
1511746,1746,10040
1521698,1698,9952
1531734,1734,10036
1541770,1770,10036
1551782,1782,10012
1561682,1682,9900
1571670,1670,9988
1581738,1738,10068
1591930,1930,10192
1601706,1706,9776
1611674,1674,9968
1621742,1742,10068
1631722,1722,9980
1641642,1642,9920
1651666,1666,10024
1661746,1746,10080
1671750,1750,10004
1681702,1702,9952
1691762,1762,10060
1701798,1798,10036
1711750,1750,9952
1721746,1746,9996
1731638,1638,9892
1741778,1778,10140
1751702,1702,9924
1761702,1702,10000
1771746,1746,10044
1781714,1714,9968
1791714,1714,10000
1801726,1726,10012
1811666,1666,9940
1821766,1766,10100
1831710,1710,9944
1841718,1718,10008
1851666,1666,9948
1861782,1782,10116
1871718,1718,9936
1881690,1690,9972
1891682,1682,9992
1901750,1750,10068
1911750,1750,10000
1921738,1738,9988
1931642,1642,9904
1941774,1774,10132
1951778,1778,10004
1961686,1686,9908
1971678,1678,9992
1981734,1734,10056
1991734,1734,10000
2001690,1690,9956
2011730,1730,10040
2021762,1762,10032
2031726,1726,9964
2041702,1702,9976
2051658,1658,9956
2061774,1774,10116
2071702,1702,9928
2081730,1730,10028
2091682,1682,9952
2102090,2090,10408
2111690,1690,9600
2121722,1722,10032
2131702,1702,9980
2141746,1746,10044
2151702,1702,9956
2161706,1706,10004
2171706,1706,10000
2181766,1766,10060
2200374,10374,18608
2201674,1674,1300
2211702,1702,10028
2221694,1694,9992
2231766,1766,10072
2241702,1702,9936
2251750,1750,10048
2261762,1762,10012
2271702,1702,9940
2281902,1902,10200
2291706,1706,9804
2301782,1782,10076
2311718,1718,9936
2321730,1730,10012
2331662,1662,9932
2341718,1718,10056
2351710,1710,9992
2361742,1742,10032
2371674,1674,9932
2381778,1778,10104
2391710,1710,9932
2401710,1710,10000
2411738,1738,10028
2421766,1766,10028
2431706,1706,9940
2441734,1734,10028
2451666,1666,9932
2461742,1742,10076
2471742,1742,10000
2481710,1710,9968
2482138,18446744073709543754,428
2482154,18446744073709533770,16
2482170,18446744073709523786,16
2482178,18446744073709513794,8
2482190,18446744073709503806,12
2482202,18446744073709493818,12
2482210,18446744073709483826,8
2482222,18446744073709473838,12
2482234,18446744073709463850,12
2482246,18446744073709453862,12
2482258,18446744073709443874,12
2482274,18446744073709433890,16
2482282,18446744073709423898,8
2482294,18446744073709413910,12
2482310,18446744073709403926,16
2482318,18446744073709393934,8
2482330,18446744073709383946,12
2482338,18446744073709373954,8
2482350,18446744073709363966,12
2482366,18446744073709353982,16
2482378,18446744073709343994,12
2482390,18446744073709334006,12
2482402,18446744073709324018,12
2482410,18446744073709314026,8
2482426,18446744073709304042,16
2482438,18446744073709294054,12
2482450,18446744073709284066,12
2482458,18446744073709274074,8
2482470,18446744073709264086,12
2482482,18446744073709254098,12
2482494,18446744073709244110,12
2482506,18446744073709234122,12
2482514,18446744073709224130,8
2482530,18446744073709214146,16
2482542,18446744073709204158,12
2482554,18446744073709194170,12
2482578,18446744073709184194,24
2482590,18446744073709174206,12
2482602,18446744073709164218,12
2482622,18446744073709154238,20
2482630,18446744073709144246,8
2482642,18446744073709134258,12
2482678,18446744073709124294,36
2482690,18446744073709114306,12
2482702,18446744073709104318,12
2482714,18446744073709094330,12
2482722,18446744073709084338,8
2482738,18446744073709074354,16
2482750,18446744073709064366,12
2482762,18446744073709054378,12
2482774,18446744073709044390,12
2482790,18446744073709034406,16
2482802,18446744073709024418,12
2482810,18446744073709014426,8
2483258,18446744073709004874,448
2483310,18446744073708994926,52
2483330,18446744073708984946,20
2483346,18446744073708974962,16
2483358,18446744073708964974,12
2483366,18446744073708954982,8
2483378,18446744073708944994,12
2483398,18446744073708935014,20
2483726,18446744073708925342,328
2483818,18446744073708915434,92
2483830,18446744073708905446,12
2483842,18446744073708895458,12
2483862,18446744073708885478,20
2483874,18446744073708875490,12
2483882,18446744073708865498,8
2483894,18446744073708855510,12
2484514,18446744073708846130,620
2484606,18446744073708836222,92
2484630,18446744073708826246,24
2484646,18446744073708816262,16
2484654,18446744073708806270,8
2484666,18446744073708796282,12
2484678,18446744073708786294,12
2484690,18446744073708776306,12
2484954,18446744073708766570,264
2485066,18446744073708756682,112
2485102,18446744073708746718,36
2485122,18446744073708736738,20
2485166,18446744073708726782,44
2485182,18446744073708716798,16
2485202,18446744073708706818,20
2485210,18446744073708696826,8
2485562,18446744073708687178,352
2485626,18446744073708677242,64
2485646,18446744073708667262,20
2485658,18446744073708657274,12
2485670,18446744073708647286,12
