Latency,Interval
4930,4930
4002,18446744073709550688
3018,18446744073709550632
2034,18446744073709550632
1214,18446744073709550796
1194,18446744073709551596
1242,48
1186,18446744073709551560
1198,12
1178,18446744073709551596
1178,0
1266,88
1298,32
1158,18446744073709551476
1198,40
1246,48
1274,28
1238,18446744073709551580
1218,18446744073709551596
1198,18446744073709551596
1222,24
1166,18446744073709551560
1218,52
1242,24
1274,32
1266,18446744073709551608
1258,18446744073709551608
1226,18446744073709551584
1306,80
1146,18446744073709551456
1242,96
1174,18446744073709551548
1202,28
1262,60
1242,18446744073709551596
1186,18446744073709551560
1194,8
1386,192
1238,18446744073709551468
1166,18446744073709551544
1226,60
1226,0
1178,18446744073709551568
1230,52
1270,40
1214,18446744073709551560
1194,18446744073709551596
1154,18446744073709551576
1262,108
1254,18446744073709551608
1146,18446744073709551508
1302,156
1290,18446744073709551604
1186,18446744073709551512
1274,88
1158,18446744073709551500
1182,24
1218,36
1158,18446744073709551556
1286,128
1278,18446744073709551608
1198,18446744073709551536
1186,18446744073709551604
1214,28
1274,60
1262,18446744073709551604
1158,18446744073709551512
1222,64
1266,44
1246,18446744073709551596
1226,18446744073709551596
1246,20
1298,52
1286,18446744073709551604
1310,24
1166,18446744073709551472
1286,120
1154,18446744073709551484
1454,300
1142,18446744073709551304
1162,20
1266,104
1170,18446744073709551520
1234,64
1278,44
1162,18446744073709551500
1242,80
1166,18446744073709551540
1178,12
1282,104
1162,18446744073709551496
1198,36
1286,88
1262,18446744073709551592
1174,18446744073709551528
1154,18446744073709551596
1230,76
1226,18446744073709551612
1202,18446744073709551592
1202,0
1242,40
1214,18446744073709551588
1234,20
1214,18446744073709551596
1242,28
1214,18446744073709551588
1118,18446744073709551520
1206,88
1234,28
1194,18446744073709551576
1170,18446744073709551592
1158,18446744073709551604
1218,60
1206,18446744073709551604
1170,18446744073709551580
1570,400
1634,64
1194,18446744073709551176
1234,40
1238,4
1254,16
1258,4
1234,18446744073709551592
1378,144
1430,52
1206,18446744073709551392
1198,18446744073709551608
1250,52
1338,88
1214,18446744073709551492
1178,18446744073709551580
1214,36
1258,44
1154,18446744073709551512
1246,92
1202,18446744073709551572
1278,76
1254,18446744073709551592
